province,name,zip_code,area_code
"内蒙古自治区","土默特右旗",014100,0472
"内蒙古自治区","土默特左旗",010100,0471
"内蒙古自治区","多伦县",027300,0479
"内蒙古自治区","太仆寺旗",027000,0479
"内蒙古自治区","奈曼旗",028300,0475
"内蒙古自治区","宁城县",024200,0476
"内蒙古自治区","察哈尔右翼中旗",013500,0474
"内蒙古自治区","察哈尔右翼前旗",012200,0474
"内蒙古自治区","察哈尔右翼后旗",012400,0474
"内蒙古自治区","巴林右旗",025100,0476
"内蒙古自治区","巴林左旗",025400,0476
"内蒙古自治区","库伦旗",028200,0475
"内蒙古自治区","开鲁县",028400,0475
"内蒙古自治区","扎兰屯市",162600,0470
"内蒙古自治区","扎赉特旗",137600,0482
"内蒙古自治区","扎赉诺尔区",021400,0470
"内蒙古自治区","扎鲁特旗",029100,0475
"内蒙古自治区","托克托县",010200,0471
"内蒙古自治区","敖汉旗",024300,0476
"内蒙古自治区","新城区",010000,0471
"内蒙古自治区","新巴尔虎右旗",021300,0470
"内蒙古自治区","新巴尔虎左旗",021200,0470
"内蒙古自治区","昆都仑区",014000,0472
"内蒙古自治区","杭锦后旗",015400,0478
"内蒙古自治区","杭锦旗",017400,0477
"内蒙古自治区","松山区",024000,0476
"内蒙古自治区","林西县",025200,0476
"内蒙古自治区","根河市",022300,0470
"内蒙古自治区","正蓝旗",027200,0479
"内蒙古自治区","正镶白旗",013800,0479
"内蒙古自治区","武川县",011700,0471
"内蒙古自治区","海勃湾区",016000,0473
"内蒙古自治区","海南区",016000,0473
"内蒙古自治区","海拉尔区",021000,0470
"内蒙古自治区","清水河县",011600,0471
"内蒙古自治区","满洲里市",021400,0470
"内蒙古自治区","牙克石市",022100,0470
"内蒙古自治区","玉泉区",010000,0471
"内蒙古自治区","白云鄂博矿区",014000,0472
"内蒙古自治区","石拐区",014000,0472
"内蒙古自治区","磴口县",015200,0478
"内蒙古自治区","科尔沁区",028100,0475
"内蒙古自治区","科尔沁右翼中旗",029400,0482
